"LIBRARYREFERENCE","FOOTPRINT1","APPLICATIONS","CAPACITANCE","CATEGORY","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPOSITION","CURRENT - CONTINUOUS DRAIN (ID) @ 25°C","CURRENT - SATURATION","CURRENT RATING","DC RESISTANCE (DCR)","DESCRIPTION","DRAIN TO SOURCE VOLTAGE (VDSS)","ESR (EQUIVALENT SERIES RESISTANCE)","FEATURES","FET FEATURE","FET TYPE","FREQUENCY - SELF RESONANT","FREQUENCY - TEST","GATE CHARGE (QG) @ VGS","HEIGHT","HEIGHT - SEATED (MAX)","INDUCTANCE","INPUT CAPACITANCE (CISS) @ VDS","LEAD SPACING","LEAD STYLE","LIFETIME @ TEMP.","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER SIZE CODE","MATERIAL - CORE","MOUNTING TYPE","NUMBER OF OUTPUTS","NUMBER OF TERMINATIONS","OPERATING TEMPERATURE","PACKAGE / CASE","PACKAGING","POWER - MAX","POWER (WATTS)","PRICING 1","Q @ FREQ","RATINGS","RDS ON (MAX) @ ID, VGS","RESISTANCE (OHMS)","ROHS","SHIELDING","SIZE / DIMENSION","STOCK 1","SUPPLIER 1","SUPPLIER DEVICE PACKAGE","SUPPLIER PART NUMBER 1","TEMPERATURE COEFFICIENT","THICKNESS (MAX)","TOLERANCE","TYPE","VGS(TH) (MAX) @ ID","VOLTAGE - INPUT","VOLTAGE - OUTPUT","VOLTAGE - RATED","SHEETPART","DESIGNATOR","DESCRIPTION"
"08053D105KAT2A","C0805","General Purpose","1.0µF","Capacitors","1uF","http://www.avx.com/docs/Catalogs/cx5r.pdf","http://www.avx.com/docs/Catalogs/cx5r.pdf","","","","","","CAP CER 1UF 25V 10% X5R 0805","","","-","","","","","","","-","","","-","-","","AVX Corporation","08053D105KAT2A","","","Surface Mount, MLCC","","","-55°C ~ 85°C","0805 (2012 Metric)","Cut Tape (CT)","","","1=0.48, 10=0.42, 100=0.21, 250=0.168, 500=0.153, 1000=0.138 (USD)","","-","","","RoHS Compliant","","0.079" L x 0.049" W (2.01mm x 1.25mm)","125298","Digi-Key","","478-1409-1-ND","X5R","0.055" (1.40mm)","±10%","","","","","25V","*","C?","CAP CER 1UF 25V 10% X5R 0805"
"C0805C103K5RACTU","C0805","General Purpose","10000pF","Capacitors","10nF","http://www.kemet.com/docfinder?Partnumber=C0805C103K5RACTU","http://www.kemet.com/docfinder?Partnumber=C0805C103K5RACTU","","","","","","CAP CER 10000PF 50V 10% X7R 0805","","","-","","","","","","","-","","","-","-","","Kemet","C0805C103K5RACTU","","","Surface Mount, MLCC","","","-55°C ~ 125°C","0805 (2012 Metric)","Cut Tape (CT)","","","1=0.1, 10=0.034, 50=0.0182, 100=0.0154, 250=0.0126, 500=0.01078, 1000=0.0084 (USD)","","-","","","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","650396","Digi-Key","","399-1158-1-ND","X7R","0.035" (0.88mm)","±10%","","","","","50V","*","C?","CAP CER 10000PF 50V 10% X7R 0805"
"C0805C104K5RACTU","C0805","General Purpose","0.1µF","Capacitors","100nF","http://www.kemet.com/docfinder?Partnumber=C0805C104K5RACTU","http://www.kemet.com/docfinder?Partnumber=C0805C104K5RACTU","","","","","","CAP CER 0.1UF 50V 10% X7R 0805","","","-","","","","","","","-","","","-","-","","Kemet","C0805C104K5RACTU","","","Surface Mount, MLCC","","","-55°C ~ 125°C","0805 (2012 Metric)","Cut Tape (CT)","","","1=0.1, 10=0.049, 25=0.0348, 50=0.0266, 100=0.0224, 250=0.01836, 1000=0.012 (USD)","","-","","","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","3434440","Digi-Key","","399-1170-1-ND","X7R","0.035" (0.88mm)","±10%","","","","","50V","*","C?","CAP CER 0.1UF 50V 10% X7R 0805"
"CL21B105KBFNNNE","C0805","General Purpose","1.0µF","Capacitors","1uF","http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21B105KBFNNNE.pdf","http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21B105KBFNNNE.pdf","","","","","","CAP CER 1UF 50V 10% X7R 0805","","","-","","","","","","","-","","","-","-","","Samsung Electro-Mechanics America, Inc","CL21B105KBFNNNE","","","Surface Mount, MLCC","","","-55°C ~ 125°C","0805 (2012 Metric)","Cut Tape (CT)","","","1=0.1, 10=0.071, 25=0.0504, 50=0.0386, 100=0.0327, 250=0.02676, 500=0.0229, 1000=0.01785 (USD)","","-","","","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","1078939","Digi-Key","","1276-1029-1-ND","X7R","0.053" (1.35mm)","±10%","","","","","50V","*","C?","CAP CER 1UF 50V 10% X7R 0805"
"CL31A475KPHNNNE","C1206","General Purpose","4.7µF","Capacitors","4.7uF","http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL31A475KPHNNNE.pdf","http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL31A475KPHNNNE.pdf","","","","","","CAP CER 4.7UF 10V 10% X5R 1206","","","-","","","","","","","-","","","-","-","","Samsung Electro-Mechanics America, Inc","CL31A475KPHNNNE","","","Surface Mount, MLCC","","","-55°C ~ 85°C","1206 (3216 Metric)","Cut Tape (CT)","","","1=0.25, 10=0.173, 25=0.126, 50=0.105, 100=0.0882, 250=0.0714, 500=0.063, 1000=0.05355 (USD)","","-","","","RoHS Compliant","","0.126" L x 0.063" W (3.20mm x 1.60mm)","10395","Digi-Key","","1276-1809-1-ND","X5R","0.071" (1.80mm)","±10%","","","","","10V","*","C?","CAP CER 4.7UF 10V 10% X5R 1206"
"DR125-2R2-R","DR125","","","Inductors, Coils, Chokes","2.2uF 513-1662-1-ND","http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4315_DR_Series.pdf","http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4315_DR_Series.pdf","","","15A","10.9A","4.5 mOhm","FIXED IND 2.2UH 10.9A 4.5 MOHM","","","","","","-","100kHz","","","0.236" (6.00mm)","2.2µH","","","","","Eaton Bussmann","DR125-2R2-R","","Ferrite","Surface Mount","","","-40°C ~ 125°C","Non Standard","Cut Tape (CT)","","","1=1.91, 10=1.785, 50=1.4536, 100=1.326 (USD)","-","","","","RoHS Compliant","Shielded","0.492" L x 0.492" W (12.50mm x 12.50mm)","1076","Digi-Key","-","513-1662-1-ND","","","±20%","Wirewound","","","","","*","L?","FIXED IND 2.2UH 10.9A 4.5 MOHM"
"DR125-3R3-R","DR125","","","Inductors, Coils, Chokes","3.3uF 513-1529-1-ND","http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4315_DR_Series.pdf","http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4315_DR_Series.pdf","","","12.7A","9.26A","6.3 mOhm","FIXED IND 3.3UH 9.26A 6.3 MOHM","","","","","","-","100kHz","","","0.236" (6.00mm)","3.3µH","","","","","Eaton Bussmann","DR125-3R3-R","","Ferrite","Surface Mount","","","-40°C ~ 125°C","Non Standard","Cut Tape (CT)","","","1=1.91, 10=1.785, 50=1.4536, 100=1.326 (USD)","-","","","","RoHS Compliant","Shielded","0.492" L x 0.492" W (12.50mm x 12.50mm)","1995","Digi-Key","-","513-1529-1-ND","","","±20%","Wirewound","","","","","*","L?","FIXED IND 3.3UH 9.26A 6.3 MOHM"
"ERJ-6ENF10R0V","R0805","","","Resistors","10R","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ6ENF10R0V+7+WW","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ6ENF10R0V+7+WW","Thick Film","","","","","RES 10 OHM 1/8W 1% 0805 SMD","","","Automotive AEC-Q200 Qualified","","","","","","0.028" (0.70mm)","","","","","","","Panasonic Electronic Components","ERJ-6ENF10R0V","","","","","2","","0805 (2012 Metric)","Cut Tape (CT)","","0.125W, 1/8W","1=0.1, 50=0.0288, 100=0.0219, 250=0.01624, 500=0.012, 1000=0.008, 2500=0.00675 (USD)","","","","10","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","93100","Digi-Key","0805","P10.0CCT-ND","±100ppm/°C","","±1%","","","","","","*","R?","RES 10 OHM 1/8W 1% 0805 SMD"
"ERJ-6GEY0R00V","R0805","","","Resistors","0R","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEY0R00V+7+WW","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEY0R00V+7+WW","Thick Film","","","","","RES 0.0 OHM 1/8W JUMP 0805 SMD","","","Automotive AEC-Q200 Qualified","","","","","","0.028" (0.70mm)","","","","","","","Panasonic Electronic Components","ERJ-6GEY0R00V","","","","","2","","0805 (2012 Metric)","Cut Tape (CT)","","0.125W, 1/8W","1=0.1, 50=0.0196, 100=0.0149, 250=0.01104, 500=0.00816, 1000=0.00544, 2500=0.00459 (USD)","","","","0.0","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","746521","Digi-Key","0805","P0.0ACT-ND","-","","Jumper","","","","","","*","R?","RES 0.0 OHM 1/8W JUMP 0805 SMD"
"ERJ-6GEYJ103V","R0805","","","Resistors","10K","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEYJ103V+7+WW","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEYJ103V+7+WW","Thick Film","","","","","RES 10K OHM 1/8W 5% 0805 SMD","","","Automotive AEC-Q200 Qualified","","","","","","0.028" (0.70mm)","","","","","","","Panasonic Electronic Components","ERJ-6GEYJ103V","","","","","2","","0805 (2012 Metric)","Cut Tape (CT)","","0.125W, 1/8W","1=0.1, 50=0.0196, 100=0.0149, 250=0.01104, 500=0.00816, 1000=0.00544, 2500=0.00459 (USD)","","","","10k","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","1883616","Digi-Key","0805","P10KACT-ND","±200ppm/°C","","±5%","","","","","","*","R?","RES 10K OHM 1/8W 5% 0805 SMD"
